Category,count,log_count
Fiction,385135,18.55500471165109
Juvenile Fiction,39617,15.27383201573367
Biography & Autobiography,22390,14.45056690773996
Humor,8500,13.053247125912428
History,8249,13.010003521295205
Religion,7291,12.83190098619642
Juvenile Nonfiction,5473,12.418116141207488
Social Science,5264,12.361943773735241
"Body, Mind & Spirit",4541,12.148794321424335
Business & Economics,4527,12.144339591247839
Family & Relationships,4407,12.105581181277435
Self-Help,4326,12.078817949961978
Health & Fitness,3923,11.937741620077094
Cooking,2899,11.501339618061397
Travel,2743,11.421538906848276
True Crime,2639,11.365775635326269
Psychology,2541,11.311180660053354
Literary Criticism,2227,11.12088584278779
Poetry,2202,11.10459875356437
Science,2155,11.07347215397646
Drama,2090,11.029287226968245
Computers,2051,11.002111776479852
Political Science,1944,10.924812503605782
Nature,1938,10.920352855415082
Philosophy,1762,10.782998208920413
Detective and mystery stories,1655,10.692615501694581
Performing Arts,1560,10.607330313749612
Reference,1466,10.517669388133813
Language Arts & Disciplines,1451,10.502831804066744
FICTION,1403,10.454299293619899
Comics & Graphic Novels,1399,10.450180247164754
Art,1374,10.4241662888181
Pets,1366,10.415741768290092
Literary Collections,1357,10.406205005418855
Sports & Recreation,1347,10.395534135462302
Medical,1102,10.105908508571158
Education,1069,10.062046137720492
Crafts & Hobbies,1025,10.001408194392809
Adventure stories,1013,9.984418458801139
Children's stories,1006,9.974414589805528
American fiction,992,9.954196310386875
Music,821,9.681238411777805
Domestic fiction,727,9.505811553919594
Animals,705,9.461479447286157
Gardening,688,9.426264754702098
Horror tales,620,9.276124405274238
Foreign Language Study,606,9.243173983472952
House & Home,574,9.16490692667569
Law,570,9.154818109052105
English fiction,564,9.139551352398794
England,503,8.974414589805528
Friendship,502,8.971543553950772
Brothers and sisters,489,8.933690654952235
Adultery,481,8.909893083770042
Science fiction,465,8.861086905995393
Technology & Engineering,452,8.820178962415188
Fantasy,431,8.751544059089097
California,414,8.693486957499326
Americans,407,8.668884984266247
Families,406,8.665335917185176
Cats,406,8.665335917185176
Intelligence service,401,8.647458426454921
Games & Activities,394,8.622051819456377
Adolescence,393,8.618385502258606
Games,384,8.584962500721156
Fantasy fiction,369,8.527477006060396
Great Britain,366,8.515699838284043
Middle West,355,8.471675214392045
Babysitters,352,8.459431618637296
Actors,351,8.45532722030456
Christian life,328,8.357552004618084
Photography,328,8.357552004618084
African American men,313,8.290018846932618
German fiction,311,8.280770770130603
Diary fiction,304,8.247927513443585
Rapture (Christian eschatology),300,8.228818690495881
Bible,300,8.228818690495881
Architecture,292,8.189824558880018
Adventure and adventurers,292,8.189824558880018
Dogs,292,8.189824558880018
Australia,291,8.184875342908285
"Authors, American",288,8.169925001442312
British and Irish fiction (Fictional works by one author).,276,8.108524456778168
JUVENILE FICTION,274,8.098032082960527
Young Adult Fiction,268,8.066089190457772
Conduct of life,260,8.022367813028454
Mathematics,259,8.016808287686553
Dune (Imaginary place),259,8.016808287686553
Boys,255,7.994353436858858
Crime,254,7.988684686772166
Antiques & Collectibles,249,7.960001932068081
London (England),248,7.954196310386876
American literature,240,7.906890595608519
American wit and humor,240,7.906890595608519
City and town life,235,7.876516946565
African Americans,229,7.8392037880969445
Fathers and sons,228,7.832890014164742
Child psychologists,227,7.826548487290916
Christmas stories,224,7.807354922057604
United States,214,7.7414669864011465
Abortion,212,7.7279204545632
Man-woman relationships,210,7.714245517666122
American poetry,209,7.7073591320808825
English language,207,7.693486957499325
HISTORY,207,7.693486957499325
France,205,7.679480099505446
Businessmen,201,7.651051691178929
